review_text,word_count,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,mentions_cheaters,mentions_servers,mentions_matchmaking,mentions_money,hours_played,sentiment
I have played this game since day on on origin. i have about 3k more hours played there and i have felt for a long time the gap between controller and keyboard is way off. now with this ttk change its almost fully insulting and feels untested entirely. I lived through this once before in season 6 when they nerfed armor values. it was a serious problem that they reverted in 2 weeks. however this patch seems to wipe away about two years of serious good testing and development to get the guns to a place where controller and keys can at least pretend to be competitive. But in season 6 the game had more funding and bigger staff so they were able to just revert it. now i fear they did not include enough in this season to be able revert the change as it was advertised as a full feature of the season with not much else. don't get me wrong i understand the game is not as popular these days but this is just off. I honestly don't feel like the current dev team has the budget to make a big change right after the season launch with nothing on the short term to take its place so i fear they may just keep this in. Season 23 was the most fun ive have had playing the game in a while and the gameplay for season 24 is a complete turnaround the game is just random who shoots first tactics witch the games core structure is not designed around. its hard to really describe this REALLY does not play well at least from my point of view on mnk i cannot enjoy this after almost 8k hours played 6 years in. Im actually very sad about this as apex was the last game to really have this type of gameplay and now i just stare at my game library after work searching for something that will scratch the itch. My friends who play all feel the same way i really hope that something changes.,347,-0.8478,0.092,0.119,0.789,0,0,0,0,,negative
"Scam Legends - not fun anymore, new season is terrible and they are stealing even more money... ",17,-0.9217,0.0,0.524,0.476,0,0,0,1,,negative
This game balance and consitency is a joke. ,8,0.296,0.268,0.0,0.732,0,0,0,0,,positive
Enemy footsteps are non exixtent. Its crazy how you still havent fixed it. Its a game breaking bug and it needs to be fixed or your game will die because of it 100%.,33,-0.8689,0.0,0.253,0.747,0,0,0,0,,negative
until the start banning people running scripts and cronus. this game will keep losing its player base,17,-0.3818,0.0,0.14,0.86,0,0,0,0,,negative
"I have over 2k hours in this game and it was a waste. Matchmaking makes the game absolutely unbearable. Imagine every time u go to your local park to play basketball with your friends, Lebron James shows up with his team, eventually u are going to find a new park. That sums up about 80% of matches, pubs or ranked. I cant even imagine being a new player with the amount of obvious smurf accounts there are as well. Every event is a soulless cash grab with no real content being introduced. Do yourself a favor and find a different game to play.",103,0.7717,0.122,0.048,0.829,0,0,1,1,,positive
"Hear me out... I love this game. I love this game more than fortnite which a lot of people would think is crazy. But here's the thing, it was soooooo good when I started playing it, which was around season 8 I believe. I don't know what they are doing to this game but it feels like they are trying to get the game to self implode. It is so depressing. They are trying to do too much and maybe bring in newer players but they will continue to push the old players away if they keep up what they are doing. All they need to do is bring back the older version of Apex where BR was basic and they didn't force you to play ""takeovers"" just to play the game mode. And back when you could choose whatever character you liked and not feel like you need to choose the most cracked one they recently upgraded too much just to get by. It would be so nice to go back to the time when guns weren't increased in damage so you didn't get knocked so fast. I am not the only one saying this and I know there are others so Apex, PLEASE bring back your old game. For everyone that actually cares about it. So I would recommend this game, but only if they get the game back to a more playable version. Then I would recommend it, just not now.",244,0.9925,0.189,0.031,0.78,0,0,0,0,,positive
"Stale game. Wish there was another shooter similar to this. The customer support isn't great, and the community is as toxic as OW. Until EA decides to stop doing a money grab for everyone's pockets while only developing new skins and exotics that cost hundreds of dollars, I'd spend your time elsewhere. No new maps or game modes in quite a while and ranked is absolute trash. Devs don't listen to player feedback because again.... all they care about is YOUR MONEY.",82,0.2278,0.095,0.085,0.82,0,0,0,1,,positive
"Just shut down already. this game is terrible, an event lasted for 3 months just so it could get to christmas so they can get even more money. 'New"" event is soon but its just the same ff event from last year. EA is beyond buns sell to epic. They cant balance anything in this game. Lets buff supports for the 4th time in a season yeah good idea.",69,0.9109,0.175,0.026,0.798,0,0,0,1,,positive
"garbage hide and seek simulator with sluggish movement, non-existent anti-cheat, and awful hitreg",13,-0.7506,0.0,0.425,0.575,1,0,0,0,,negative
"Been playing since release, oh god, this was the best BR experience you could ever get.",16,0.7964,0.384,0.0,0.616,0,0,0,0,,positive
after over 5k hours on the game there's finally a season that made me stop playing. not sure what they're doing to the game but I dont enjoy dying in 0.5 seconds by brand new players. No skill involved anymore just a boosted up COD now.,46,-0.568,0.091,0.183,0.726,0,0,0,0,,negative
"Remove this absolute sorry excuse of a game,i could make a better game on scratch, if you wanna make a good game then make titanfall 3 i guarantee EA will make a few millions from it, no one wants this crappy game and they made it even worse with recent updates, its just not fun or good, u will lose lots of money to these slimy devs save your time and your money.",73,-0.2621,0.178,0.19,0.632,0,0,0,1,,negative
"once upon a time there was a good game called apex legends, and then it died a horrible death. The end",21,-0.8442,0.104,0.394,0.502,0,0,0,0,,negative
Like all the other games of it's kind it is over run with people cheating. Competitive multiplayer games are dead.,20,-0.3182,0.249,0.259,0.492,1,0,0,0,,negative
"bought some apex coins and contacted support because I didnt receive them. Did a support chat for an hour and they asked for proof of purchase like screenshots etc, then support said ""there isnt enough proof of purchase we cannot help you. have a nice day"".",46,0.8791,0.254,0.043,0.703,0,0,0,0,,positive
This game suffers many many issues but honestly the major issue is most likely the insane amount of money people actually spend on this literal free game,27,0.5353,0.226,0.16,0.614,0,0,0,1,,positive
Honestly if EA put in the time to make this game work it would be unbeatable. Unfortanetly they just trying to farm money lol,24,0.7003,0.209,0.0,0.791,0,0,0,1,,positive
Spent many hours and tons of money on this pile of shit game and they ended up banning my account AND banning me from the EA website to appeal the ban. All because of my steam name which could have been changed. Lost my entire account which I've sunk thousands into.,51,-0.8591,0.0,0.165,0.835,0,0,0,1,,negative
uninstalled this pos game after this update if i wanted COD i would played it ,15,0.34,0.167,0.0,0.833,0,0,0,0,,positive
"Horrible game, you are matched with sweats or you are matched with cheaters or both. This game has been dead since season 10, I do my best to try and keep it alive but the amount of no recoil randies I get who have dma's or arduino ai bots in my games ruins the fun.",55,-0.5647,0.131,0.2,0.668,1,0,1,0,,negative
most pub players can be toxic. The biggest reason I don't recommend is that the game is never fixed and you get red symbols while trying to play. The match making is very unbalanced and if you are new to the game you will end up playing people that are way above your skill level.,55,0.2709,0.073,0.037,0.89,0,0,1,0,,positive
I am a solo player and my experience has been just bad for a couple seasons not only that the game has other issues cheating is rampant. I know that in the company that owns the rights to this game EA just don’t want to fix the game. I would say I would not recommend this game.,57,-0.8364,0.023,0.16,0.817,1,0,0,0,,negative
"This game is a facade mostly because of it's abhorrent matchmaking system. But it's EA, so this was inevitable. Played for just 38hrs, so what the fk do I know. Right?!",31,0.2124,0.103,0.077,0.82,0,0,1,0,38.0,positive
"Out of touch devs, horrible security team (I got hit with a false ban in a random ass ban wave), dying community, cheaters galore. ",24,-0.9403,0.068,0.482,0.451,1,0,0,0,,negative
"Have over 1000 hrs on PlayStation and gotta say the downfall of this game has to be studied. Stopped playing actively when newcastle dropped and after they removed barrels for smgs' the game has gone to shit. Been playing on and off but just can't play actively anymore, the game is so shit that I can't explain it. ",58,-0.7007,0.109,0.166,0.725,0,0,0,0,1000.0,negative
Good old fast pace shooter however ...,7,0.4404,0.326,0.0,0.674,0,0,0,0,,positive
"New patch with has made game unenjoyable for me played since day one and just cant keep up with the pandering to 1% and ruining game for rest. cheater and script users that are ""illegal"" run rampant professionals on new accounts to get ""great clips and content"" peak and die instantly. not fun anymore",54,-0.681,0.098,0.182,0.721,1,0,0,0,,negative
"Used to be my favorite game, ruined over time with mountains of cosmetics that cost a small fortune. Every time you open the game nowadays you get so many pop ups for the new battle pass or new event with a $200+ heirloom. They changed the battle pass a few seasons ago to cut the length of the BP in half, but now for the same amount of time you'd have to spend twice as much. Every season there's just more and more ways added to spend money with NO attention payed to fixing critical bugs and server problems that have plagued this game for years. Not even mentioning the cheaters that have also gotten significantly worse. Can't recommend anymore.",120,-0.9757,0.015,0.207,0.778,1,1,0,1,,negative
"After playing Apex on and off for years, I've recently returned just to kick around with my cousin. I think it's safe to say that this game is at it's worst. I can't play a game without running into cheaters on every other team it feels like. I'm probably late to the party on this one, but wanted to offer my experience.",62,0.3788,0.134,0.063,0.803,1,0,0,0,,positive
Season after season this game gets worse and worse. This new and current season is by far the worst possible season. They have by and large ruined this game. Do not waste your time. Do not waste your money. EA and the Devs clearly want to run this game into the ground so let them. They waste our time with changes to the game no one asked for and ignore the problems people have been begging them to fix for over 15 seasons now. Uninstalling. Never again. Enjoy your dead game.,91,-0.9567,0.095,0.24,0.665,0,0,0,1,,negative
This game only cares to appeal to Streamers and whales who buy enough cosmetics to even keep this game alive.,20,0.6808,0.237,0.0,0.763,0,0,0,0,,positive
Game has turned into cod movement clone and lost its identity. You get punished for using legends that are out of meta because they purposely over tune who they want to be in the spotlight. Support last season and now assault this season. Next season they'll turn recon into permanent wall hacks on anyone and just say its their time in the spotlight.,63,-0.7269,0.056,0.128,0.816,0,0,0,0,,negative
"The BEST Battle royale game ever , only problem is the matchmaking not being balanced and the no audio and foot steps problem",23,-0.5052,0.154,0.317,0.529,0,0,1,0,,negative
"The game is over and over destroyed by oversaturated updates wich bring stupid OP elements to the game to make it feel ""refreshing"". I miss a well balanced game that has the option to turn off crossplay and have a input filter for ranked",44,-0.7269,0.044,0.173,0.782,0,0,0,0,,negative
"I've been playing this game since launch. Back then, I couldn't recommend this game enough. Compelling and fun battle royale in the Titalfall universe with no excessive monetization practices. ",29,0.0232,0.195,0.192,0.613,0,0,0,0,,neutral
"Rift normal mode is trash, why take out the normals and add it with op weapons?",16,-0.4404,0.0,0.162,0.838,0,0,0,0,,negative
"Apex Legends used to be a good shooter, you could feel Respawn`s passion troughout the game. Now though, I don`t even think any OG devs are left at the studio. They only care about cashgrabbing players. Its sad.",38,0.7184,0.206,0.07,0.724,0,0,0,1,,positive
"Recently started playing an  had a lot of fun with season 23. Season 24 is a completely different game, it is too hardcore for most casual players and will discourage many players from continuing. Solution, Introduce separate game modes;  S23(Casual mode) and S24(Hardcore mode), then both player bases can be happy-ish, and you will keep the players. Yes, S23 needed a bit shorter TTK..",64,0.8122,0.174,0.04,0.786,0,0,0,0,,positive
i played this game (wanted to die) and then i stopped and im pretty sure the grass got greener,19,0.7184,0.346,0.083,0.57,0,0,0,0,,positive
"I love this game, but for solo players it is truly a trash game.  Rarely are you partnered with good players, or even ones that fun to talk to.  Most tell you to go F yourself.  This game needs a solo mode.  They have reworked characters for this new season, why can't they  have difft abilities for solo mode.  I would spend soo much more time playing this game if they offered solo.  Instead I play a few games, keep getting horrible teammates, and rage quit and uninstall.  All the talent in the world won't help you in this game if your teammates refuse to work with you.",108,0.8842,0.204,0.117,0.679,0,0,0,0,,positive
I dident think it was possible to make this game even worse. But EA proved me wrong. every update makes the game more unbalanced. Just go play something else.,29,-0.4767,0.09,0.181,0.729,0,0,0,0,,negative
"This [i]was[/i] the [b]KING[/b] of Battle Royale shooters. Nothing comes close to the movement, the strategy, and the deep lore that exists in the game.",25,-0.3818,0.0,0.098,0.902,0,0,0,0,,negative
Do something better with your time ,6,0.4404,0.367,0.0,0.633,0,0,0,0,,positive
"DAY ONE apex player here. it hasnt been the same for years tbh. there is no casual apex... if you work and have a life you wont be able to compete. the game is dying, only people left are sweats and kids because its free. ranked is a joke lol 4 ranks play together so its impossible to progress unless you play 8 hours a day to get ""good""",69,0.926,0.233,0.029,0.738,0,0,0,0,8.0,positive
"The game is dogshit, crashed thrice and then gave me a penalty. 3 games 2 cheaters.",16,-0.7096,0.0,0.349,0.651,1,0,0,0,,negative
game is stright shit none dont listen to ea and apex them self nothing was done for the hacking and cheaters this is why  i quite the game its stroght shit dont not recomend at all,36,-0.8779,0.0,0.24,0.76,1,0,0,0,,negative
"The game was not perfect whatsoever for a long time but it didn't bother me because it was still so much fun. Since the new season, hovewer, the game is NOT playable. The moment you see an enemy squad you are dead. Lowering TTK was such a big mistake. What is the point of carrying 6 shells and syringes if you don't have time to use them. I am not even going to mention about meta changes. If you want to spend more time in match lobby and one-shot somebody or get one-shot than participate in actual fun gun fights that require strategies then it's the perfect game for you.",110,-0.9438,0.109,0.212,0.68,0,0,1,0,,negative
"The game was not perfect whatsoever for a long time but it didn't bother me because it was still so much fun. Since the new season, hovewer, the game is NOT playable. The moment you see an enemy squad you are dead. Lowering TTK was such a big mistake. What is the point of carrying 6 shells and syringes if you don't have time to use them. I am not even going to mention about meta changes. If you want to spend more time in match lobby and one-shot somebody or get one-shot than participate in actual fun gun fights that require strategies then it's the perfect game for you.",110,-0.9438,0.109,0.212,0.68,0,0,1,0,,negative
"Game fell off, its just a cash grab now. Every season update is lazy, it takes them 100+ days to change 2 legends and change the stats on some guns. Even the new skins are lazy, recolors of heirlooms instead of ANY new content. Classic EA game though.",48,-0.6124,0.0,0.102,0.898,0,0,0,1,,negative
"Absolutely horrid videogame, waste of fucking time i dont know why i still play this dogshit. most exciting thing thats happened for years is spending 200 + for a dead heirloom u get bored after in a week.. no updates. 5 million bazillion cosmetics and im still buns at the game. why am i getting apex predators as a level 80 in my public and ranked matches make it one or the other and introduce something new for once you smelly pricks of a dev team.",86,-0.8876,0.065,0.19,0.745,0,0,1,0,,negative
"the worse game that EA can made fr but i love it, the movility is fire, the maps are fine (except broken moon), the characters and theirs desings are pretty good but BUTTTT, the hackers and the machmaking does that game really sucks, dont play this shi if u r broke ass nigga cuz the prices in skins is really 💀💀💀.",61,-0.8041,0.184,0.279,0.537,0,0,0,1,,negative
Ultimately the worst part of this game is that it run by EA and they only care about profit.,19,0.25,0.233,0.156,0.611,0,0,0,0,,positive
"Game fell off really hard, it had potential but EA doesn't give a shit about their players, they only want you to buy the expensive skins and the relics at outrageous prices",32,-0.0027,0.142,0.142,0.717,0,0,0,1,,neutral
On release and for a fair few years I always thought this was the strongest battle royale game around. ,19,0.3818,0.239,0.119,0.642,0,0,0,0,,positive
Season 24 undid all the progress of the previous 23.,10,0.4215,0.237,0.0,0.763,0,0,0,0,,positive
"Really the only battle royal game I got into, however the balance and content is just not there. For the amount of players and money this is getting it feels like there should be more. Unfortunately this games monetization is quite predatory and the amount of free items is getting smaller and smaller, and the effort seems to be disappearing too lots of recolors being sold for full price. I'm sure people are tired of hearing this but I really wish this game lasted 3 years and then we got titanfall 3.",92,0.5874,0.098,0.059,0.843,0,0,0,1,,positive
I tried many times to play this game.,8,0.34,0.286,0.0,0.714,0,0,0,0,,positive
Game became too sweaty for the average player. Used to be fun and I felt proud when I hit plat but now I just get beamed in any rank.,29,0.4939,0.149,0.0,0.851,0,0,0,0,,positive
"The Game is ok could be better if EA wasn't stupid money, hungry pigs and listened to the community",19,0.783,0.33,0.0,0.67,0,0,0,1,,positive
"This HAS to be one of the worst games in existence right now. Bad gameplay, poor game design choices, toxic community, not a lot of real players, lobbies full of smurfs, and so on.....I cannot fathom how one could enjoy that game in big 2025. I don't recommend.",48,-0.8628,0.056,0.225,0.719,0,0,0,0,,negative
"Although there are many areas of this game that frustrate me (matchmaking being the top of the list), there is no other game that offers such refined gun play and movement mechanics. I'm no longer addicted to Apex (lol), but i still love it, and cant't find anything else that scratches the same itch in quite the same way",59,0.6124,0.133,0.103,0.763,0,0,1,0,,positive
Good game slowly turned into a skin shop with some gameplay.,11,0.4404,0.244,0.0,0.756,0,0,0,0,,positive
What have the devs done :(,6,-0.4404,0.0,0.367,0.633,0,0,0,0,,negative
"Apex is a game I used to love. I am by no means a pro at this game and will never be at that kind of skill level. I tend to play it more relaxed and to have fun. However, that has changed. The game I once loved, and could spend hours playing, literally has become the opposite. I make it through maybe 2 matches and get destroyed by a Pred/Diamond and Masters players in pubs. Add in the aim botters who Respawn claims aren't around anymore but really are, just makes the game not fun or enjoyable. No way, someone with my little skill should ever be in a match with a Pred player period. Along with the change in Battlepass, the constant cash grabs for money on skins, etc. I can see why the player base is in a very sharp decline and I can see it eventually die out.",152,0.0097,0.108,0.095,0.798,0,0,1,1,,neutral
"Bad voice chat, bad micro transactions, bad gameplay loop, bad everything!",11,-0.9359,0.0,0.671,0.329,0,0,0,0,,negative
i fucking hate this new season ive been a lifeline main for years now i cant even play her im done with this game forever until they fix support players again,31,-0.5153,0.08,0.179,0.741,0,0,0,0,,negative
The new update has completely ruined the game. It is terrible now.,12,-0.7574,0.0,0.394,0.606,0,0,0,0,,negative
USED to be a fun game.,6,0.5106,0.452,0.0,0.548,0,0,0,0,,positive
This game isnt worth the time and energy. its a bled out cash grab that is on its last leg of life before its owners but a double barrel to its head. Play something fun not this headache of a game that'll make you question if gaming is fun.,49,0.9219,0.242,0.024,0.734,0,0,0,1,,positive
"Not nearly enough rule 34 of altar or any of the women, kinda crazy for a game to have over 100k players for so long and still have nothing to show for it. proving this game was only ever popular with the dredges of society that fortnite didn't catch.",49,0.1761,0.055,0.041,0.904,0,0,0,0,,positive
"bad community, sweaty players, toxic, weird shooting mechanics.",8,-0.6369,0.0,0.464,0.536,0,0,0,0,,negative
used to be good game but sadly the devs dont care about anything but money,15,-0.7345,0.092,0.339,0.569,0,0,0,1,,negative
I'd rather just shoot myself and get it over with rather than play this game,15,0.0,0.135,0.135,0.73,0,0,0,0,,neutral
"the servers are garbage, and when the game kicks you out you get a penalty even when you didnt quit the game intentionally.",23,-0.4588,0.0,0.125,0.875,0,1,0,0,,negative
Trash. opponents too strong from the beginning i downloaded the game. everything too complicated. also movement is so bad!,19,-0.3576,0.137,0.199,0.664,0,0,0,0,,negative
"Its not longer fun to play, you end up in pvp matches with nothing but cheaters and Toxic ass people, that company that made Apex does not care about your money or the time you spend in the game!!! you never play with people at you own skill set you just end up in all the bull shit matches I'm good, uninstalled would not recommend this game to anyone any longer because its just going to piss you off.",79,-0.9057,0.114,0.214,0.671,1,0,1,1,,negative
" perma banned for literally being shit at the game, no warning no explanation,, did terrible in a match then got banned",21,-0.9552,0.0,0.6,0.4,0,0,1,0,,negative
great game many bugs loading screen,6,0.6249,0.451,0.0,0.549,0,0,0,0,,positive
This is still best battle royal imo.,7,0.3818,0.356,0.22,0.424,0,0,0,0,,positive
Caters to mouse&keyboard players... takes away tap strafe for controller but leaves it for m&k players to still use. Complete garbage. not to mention m&k players are using Blitz to get aim assist for their mouse. Game is going nowhere.,40,0.0,0.0,0.0,1.0,0,0,0,0,,neutral
Would Not Recommend For being living in the OCE area as not take kindly to newer players as SBMM matches Players who are brand new to the game against the best in the region so they can carry them meaning if your brand new your going to be blamed for anything going wrong I Solo Q to masters wiping every team I see then I have teammates bronz in a lobby of diamonds master preds And They are looting on the other side of the map and dying to zone damage while still trying to figure out where zone is Worst SBMM In any game I bring to you Apex Legends,111,-0.9176,0.044,0.151,0.805,0,0,1,0,,negative
"W game, its fun and movement is OP. John 3:16-17 is also W especially Ephesians 2:8-9",16,0.5106,0.202,0.0,0.798,0,0,0,0,,positive
"its aight if ur good at eating back shots from behind cover, also runs great on decent pcs and laptops ive gotta wait for 3 left game bands due to server latency not liking me online and anti cheat being mad at me for not wanting to dual run 2 wingman, other then that the constant lagging and hours of shots not recing id say its a 10\10 for a lagging simulator",72,-0.7147,0.085,0.183,0.732,1,1,0,0,,negative
"I've been playing this game since season 2 and PS4 Total 10,000 hours. best therapy for free",17,0.8519,0.417,0.0,0.583,0,0,0,0,0.0,positive
Cant play the game because of an anti cheat error. No matter what I do it just keeps popping up and its annoying asf. I've played the game before and it worked fine but now its just this.,38,-0.6506,0.097,0.246,0.657,1,0,0,0,,negative
I can't be the only person playing with a controller that's tired of getting destroyed by keyboard players because they don't have a system where controller players can play with controller players this is the only reason I keep around my playstation I would have gone completely pc. I'm too old to be relearning video game language and just like 58% of video gamers I learned on a console first stat according to theesa.com,74,-0.1027,0.09,0.082,0.829,0,0,0,0,,negative
Best FPS ive ever played really great gun fighting gameplay,10,0.7616,0.513,0.254,0.233,0,0,0,0,,positive
"Every update makes this game significantly worse, ttk now has absorbed the last slither of fun and removed all casual play. ",21,0.5267,0.272,0.112,0.616,0,0,0,0,,positive
greedy EA ruining game. need more free stuff to grind for and give respawn more refunding for more content,19,0.0754,0.15,0.18,0.67,0,0,0,0,,positive
game is fun but servers and other stuff makes it unplayable,11,0.2846,0.177,0.0,0.823,0,1,0,0,,positive
"Apex Legends is an incredibly fun and thrilling battle royale game that brings a refreshing take on the genre. With its fast-paced gameplay, diverse cast of unique characters, and strategic team-based mechanics, the game offers an exciting and dynamic experience every time you drop into the map. The fluid movement system and smooth gunplay make it easy to get immersed in intense firefights, while the different legends each offer their own abilities, making teamwork a key component of success. Whether you’re playing solo or with friends, the adrenaline-pumping action, combined with the ever-evolving gameplay, makes Apex Legends a must-play for fans of battle royales. It’s simply an exhilarating experience that keeps you coming back for more!",116,0.9692,0.223,0.053,0.723,0,0,0,0,,positive
It's a realy fun and fast passed Battle Royale game that you can never get enough of. You get to play with people from all over the world and teachers you a thing or two about team work.,38,0.4767,0.138,0.063,0.799,0,0,0,0,,positive
tooo much space titanfall2 multiplayer and campaign only takes 40 gigs apex takes 75,14,0.0,0.0,0.0,1.0,0,0,0,0,,neutral
"Need to fix server tic rate. Regardless if controller is used more than mouse and key in the pro league, mouse and key movement is absolutely outrageous especially with the new TTK. There is almost no time to reset for a decent fight. Can't even enjoy the game now. The lobbies are out of this world with me playing against 3 stack preds and then getting a team that has the bare minimum with stats and skills. It is not a fair game play at all. This is why this game is struggling so bad. I have close to 3,000 hours in this game. I have tried to adapt over and over and keep putting my faith in these devs to fix this game but I can see that won't happen. Also, there has to be a way to get rid of wall hackers and aimbot. It is getting out of hand now with the subtle cheats and when people do cheat there are never any moderators online to ban them! I don't know if you all have a funding issue but this needs work. This has the potential to be one of the greatest games ever created!",198,-0.8459,0.074,0.13,0.797,1,1,0,0,0.0,negative
